Y,YRT70-F30,YRT70-F30S,YRT70-F29,YRT70-F28,YRT70-F27,YRT70-M26,YRT70-M25,YRT70-M24,YRT70-M23,YRT70-M22,YRT70-F22,YRT70-F21,YRT70-M19,YRT70-M18,YRT85-F30,YRT85-F29,YRT85-F28,YRT85-M26,YRT85-M25,YRT85-M24,YRT85-M23,YRT85-F22,YRT85-F21,YRT85-M19,YRT85-M18,LEVEL-F29,LEVEL-F28,LEVEL-M25,LEVEL-M23,LEVEL-F21,LEVEL-M18
41,0.000000,0.000000,19.190000,17.530000,15.930000,33.629988,32.820500,14.360000,12.810000,11.320000,9.400000,8.250000,8.090000,7.350000,11.269992,10.479996,9.720000,20.376996,18.700000,8.329992,7.580000,5.640000,5.010000,5.079996,4.650000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
42,0.000000,0.000000,0.000000,18.910000,17.290000,36.593988,35.629000,15.710000,14.080000,12.510000,10.380000,9.200000,8.740000,8.000000,12.099996,11.269992,10.479996,22.180992,20.290000,9.120000,8.320000,6.229992,5.590000,5.490000,5.060000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
43,0.000000,0.000000,0.000000,0.000000,18.610000,39.519984,38.601500,16.980000,15.280000,13.700000,11.370000,10.210000,9.540000,8.620000,13.149996,12.099996,11.269992,23.964492,22.000000,9.859992,9.040000,6.829992,6.210000,5.989992,5.450000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
44,0.000000,0.000000,0.000000,0.000000,0.000000,42.464988,41.902000,18.480000,16.660000,15.000000,12.440000,11.230000,10.710000,9.440000,14.389992,13.149996,12.099996,25.747992,23.860000,10.729992,9.860000,7.470000,6.830000,6.729996,5.960000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.202500,20.060000,18.140000,16.360000,13.580000,12.300000,11.890000,10.600000,15.619992,14.389992,13.149996,27.674988,25.750000,11.640000,10.730000,8.149992,7.470000,7.470000,6.700000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.630000,19.690000,17.810000,14.780000,13.420000,13.080000,11.770000,16.859988,15.619992,14.389992,29.847984,27.670000,12.559992,11.640000,8.869992,8.150000,8.220000,7.440000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
47,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.230000,19.330000,16.040000,14.600000,14.320000,12.940000,18.349992,16.859988,15.619992,32.594988,29.750000,13.500000,12.560000,9.630000,8.870000,9.000000,8.180000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.820000,17.280000,15.770000,15.490000,14.060000,19.989996,18.349992,16.799988,35.403480,32.350000,14.509992,13.500000,10.369992,9.580000,9.729996,8.890000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.950000,16.870000,15.330000,21.959988,19.989996,18.349992,38.478480,35.400000,15.779988,14.510000,11.139996,10.300000,10.599996,9.690000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.310000,16.690000,23.939988,21.959988,19.989996,41.553480,38.480000,17.269992,15.780000,11.959992,11.070000,11.499996,10.550000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
