	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
27	327070	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
28	337300	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
29	347810	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
30	358590	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
31	369640	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
32	380970	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	
33	392570	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000		
34	404450	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000			
35	416600	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000				
36	429020	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000					
37	441710	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000						
38	454670	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000							
39	467880	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	0							
40	481350	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	0	0	0	0	0	0	0	0	0
41	495070	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	0	0	0	0	0	0	0	0	0	0
42	509010	523170	537520	552060	566760	581600	596550	611590	626690	641820	656970	672090	687180	702200	717150	732010	746790	761490	776120	790730	805370	820110	835060	850370	866240	882970	900930	920670	942950	968860	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	0	0	0	0	0	0	0	0	0	0	0
